name,symbol,country,indice
Darden Restaurants,DRI,united states,S&P 500
Advance Auto Parts,AAP,united states,S&P 500
Regency Centers,REG,united states,S&P 500
Albemarle,ALB,united states,S&P 500
Cummins,CMI,united states,S&P 500
Evergy,EVRG,united states,S&P 500
Ameren,AEE,united states,S&P 500
AmerisourceBergen,ABC,united states,S&P 500
Church&Dwight,CHD,united states,S&P 500
HCA,HCA,united states,S&P 500
Paychex,PAYX,united states,S&P 500
Charter Communications,CHTR,united states,S&P 500
Leggett&Platt,LEG,united states,S&P 500
Flowserve,FLS,united states,S&P 500
Fortune Brands,FBHS,united states,S&P 500
Rollins,ROL,united states,S&P 500
Autodesk,ADSK,united states,S&P 500
Keysight Technologies,KEYS,united states,S&P 500
Iron Mountain,IRM,united states,S&P 500
Capri Holdings,CPRI,united states,S&P 500
JM Smucker,SJM,united states,S&P 500
Xylem,XYL,united states,S&P 500
Cadence Design,CDNS,united states,S&P 500
Alliance Data Systems,ADS,united states,S&P 500
McCormick&Co,MKC,united states,S&P 500
Principal Financial,PFG,united states,S&P 500
T Rowe,TROW,united states,S&P 500
Expeditors Washington,EXPD,united states,S&P 500
CBRE A,CBRE,united states,S&P 500
CH Robinson,CHRW,united states,S&P 500
Pentair,PNR,united states,S&P 500
Hasbro,HAS,united states,S&P 500
McKesson,MCK,united states,S&P 500
CarMax,KMX,united states,S&P 500
Brown Forman,BFb,united states,S&P 500
KLA-Tencor,KLAC,united states,S&P 500
Broadridge,BR,united states,S&P 500
Textron,TXT,united states,S&P 500
Willis Towers Watson,WLTW,united states,S&P 500
Ralph Lauren A,RL,united states,S&P 500
Moodys,MCO,united states,S&P 500
Kansas City Southern,KSU,united states,S&P 500
Fortinet,FTNT,united states,S&P 500
Equinix,EQIX,united states,S&P 500
Ametek,AME,united states,S&P 500
Hershey Co,HSY,united states,S&P 500
Dover,DOV,united states,S&P 500
DaVita,DVA,united states,S&P 500
Loews,L,united states,S&P 500
Allegion PLC,ALLE,united states,S&P 500
Regeneron Pharma,REGN,united states,S&P 500
Helmerich Payne,HP,united states,S&P 500
Arconic,ARNC,united states,S&P 500
Humana,HUM,united states,S&P 500
ResMed,RMD,united states,S&P 500
F5 Networks,FFIV,united states,S&P 500
Northrop Grumman,NOC,united states,S&P 500
Vulcan Materials,VMC,united states,S&P 500
Tractor Supply,TSCO,united states,S&P 500
Westinghouse Air Brake,WAB,united states,S&P 500
Henry Schein,HSIC,united states,S&P 500
Garmin,GRMN,united states,S&P 500
JB Hunt,JBHT,united states,S&P 500
PVH,PVH,united states,S&P 500
SL Green,SLG,united states,S&P 500
Northern Trust,NTRS,united states,S&P 500
SBA Communications,SBAC,united states,S&P 500
DTE Energy,DTE,united states,S&P 500
Equifax,EFX,united states,S&P 500
FMC,FMC,united states,S&P 500
Cboe Global,CBOE,united states,S&P 500
Jacobs Engineering,JEC,united states,S&P 500
Arista Networks,ANET,united states,S&P 500
Snap-On,SNA,united states,S&P 500
First Republic Bank,FRC,united states,S&P 500
Alexandria RE,ARE,united states,S&P 500
Public Storage,PSA,united states,S&P 500
VeriSign,VRSN,united states,S&P 500
Cincinnati Financial,CINF,united states,S&P 500
News Corp,NWS,united states,S&P 500
Extra Space Storage,EXR,united states,S&P 500
Boston Properties,BXP,united states,S&P 500
Robert Half,RHI,united states,S&P 500
Mohawk Industries,MHK,united states,S&P 500
American Water Works,AWK,united states,S&P 500
Ulta Beauty,ULTA,united states,S&P 500
BlackRock,BLK,united states,S&P 500
AvalonBay,AVB,united states,S&P 500
Globe Life,GL,united states,S&P 500
Transdigm,TDG,united states,S&P 500
Universal Health Services,UHS,united states,S&P 500
Rockwell Automation,ROK,united states,S&P 500
Chipotle Mexican Grill,CMG,united states,S&P 500
Ameriprise Financial,AMP,united states,S&P 500
Assurant,AIZ,united states,S&P 500
MSCI,MSCI,united states,S&P 500
Booking,BKNG,united states,S&P 500
Mid-America Apartment,MAA,united states,S&P 500
Genuine Parts,GPC,united states,S&P 500
United Rentals,URI,united states,S&P 500
Huntington Ingalls Industries,HII,united states,S&P 500
IDEXX Labs,IDXX,united states,S&P 500
Teleflex,TFX,united states,S&P 500
Waters,WAT,united states,S&P 500
Federal Realty,FRT,united states,S&P 500
Packaging America,PKG,united states,S&P 500
Align,ALGN,united states,S&P 500
ANSYS,ANSS,united states,S&P 500
Roper Technologies,ROP,united states,S&P 500
O’Reilly Automotive,ORLY,united states,S&P 500
MarketAxesss,MKTX,united states,S&P 500
Cooper,COO,united states,S&P 500
Avery Dennison,AVY,united states,S&P 500
Gartner,IT,united states,S&P 500
Cintas,CTAS,united states,S&P 500
SVB,SIVB,united states,S&P 500
Martin Marietta Materials,MLM,united states,S&P 500
Essex Property,ESS,united states,S&P 500
ABIOMED,ABMD,united states,S&P 500
Everest,RE,united states,S&P 500
IPG Photonics,IPGP,united states,S&P 500
AutoZone,AZO,united states,S&P 500
WW Grainger,GWW,united states,S&P 500
Mettler-Toledo,MTD,united states,S&P 500
Affiliated Managers,AMG,united states,S&P 500
Apple,AAPL,united states,NASDAQ Composite
American Airlines,AAL,united states,NASDAQ Composite
Pfizer,PFE,united states,NASDAQ Composite
Walt Disney,DIS,united states,NASDAQ Composite
Intel,INTC,united states,NASDAQ Composite
Microsoft,MSFT,united states,NASDAQ Composite
Exxon Mobil,XOM,united states,NASDAQ Composite
J&J,JNJ,united states,NASDAQ Composite
Cisco,CSCO,united states,NASDAQ Composite
Verizon,VZ,united states,NASDAQ Composite
United Airlines Holdings,UAL,united states,NASDAQ Composite
Coca-Cola,KO,united states,NASDAQ Composite
PG E,PCG,united states,NASDAQ Composite
Delta Air Lines,DAL,united states,NASDAQ Composite
Chevron,CVX,united states,NASDAQ Composite
Merck&Co,MRK,united states,NASDAQ Composite
JPMorgan,JPM,united states,NASDAQ Composite
Visa A,V,united states,NASDAQ Composite
General Electric,GE,united states,NASDAQ Composite
CSX,CSX,united states,NASDAQ Composite
Southwest Airlines,LUV,united states,NASDAQ Composite
Boeing,BA,united states,NASDAQ Composite
NextEra Energy,NEE,united states,NASDAQ Composite
Walmart,WMT,united states,NASDAQ Composite
Procter&Gamble,PG,united states,NASDAQ Composite
IBM,IBM,united states,NASDAQ Composite
Nike,NKE,united states,NASDAQ Composite
JetBlue,JBLU,united states,NASDAQ Composite
NiSource,NI,united states,NASDAQ Composite
3M,MMM,united states,NASDAQ Composite
FirstEnergy,FE,united states,NASDAQ Composite
The AES,AES,united states,NASDAQ Composite
Southern,SO,united states,NASDAQ Composite
Exelon,EXC,united states,NASDAQ Composite
CenterPoint Energy,CNP,united states,NASDAQ Composite
Consolidated Edison,ED,united states,NASDAQ Composite
Raytheon Technologies,RTX,united states,NASDAQ Composite
Dominion Energy,D,united states,NASDAQ Composite
Home Depot,HD,united states,NASDAQ Composite
DuPont De Nemours,DD,united states,NASDAQ Composite
UnitedHealth,UNH,united states,NASDAQ Composite
Duke Energy,DUK,united states,NASDAQ Composite
American Express,AXP,united states,NASDAQ Composite
FedEx,FDX,united states,NASDAQ Composite
American Electric Power,AEP,united states,NASDAQ Composite
Caterpillar,CAT,united states,NASDAQ Composite
Alaska Air,ALK,united states,NASDAQ Composite
Union Pacific,UNP,united states,NASDAQ Composite
McDonald’s,MCD,united states,NASDAQ Composite
United Parcel Service,UPS,united states,NASDAQ Composite
Public Service Enterprise,PEG,united states,NASDAQ Composite
Goldman Sachs,GS,united states,NASDAQ Composite
Norfolk Southern,NSC,united states,NASDAQ Composite
Edison,EIX,united states,NASDAQ Composite
Travelers,TRV,united states,NASDAQ Composite
Expeditors Washington,EXPD,united states,NASDAQ Composite
CH Robinson,CHRW,united states,NASDAQ Composite
Kansas City Southern,KSU,united states,NASDAQ Composite
Avis,CAR,united states,NASDAQ Composite
JB Hunt,JBHT,united states,NASDAQ Composite
Ryder System,R,united states,NASDAQ Composite
American Water Works,AWK,united states,NASDAQ Composite
Matson,MATX,united states,NASDAQ Composite
Landstar,LSTR,united states,NASDAQ Composite
Kirby,KEX,united states,NASDAQ Composite
Ford Motor,F,united states,CBOE Volatility Index
